Mach,CD Power-On
11.6,0.74213476
11.61,0.742106762
11.62,0.742078914
11.63,0.742051018
11.64,0.742023273
11.65,0.741995479
11.66,0.741967837
11.67,0.741940244
11.68,0.741912602
11.69,0.741885111
11.7,0.741857672
11.71,0.741830281
11.72,0.74180304
11.73,0.74177575
11.74,0.741748609
11.75,0.741721418
11.76,0.741694376
11.77,0.741667283
11.78,0.741640339
11.79,0.741613444
11.8,0.741586599
11.81,0.741559802
11.82,0.741533054
11.83,0.741506352
11.84,0.7414798
11.85,0.741453196
11.86,0.74142674
11.87,0.741400231
11.88,0.741373871
11.89,0.741347457
11.9,0.741321192
11.91,0.741294973
11.92,0.741268801
11.93,0.741242676
11.94,0.741216598
11.95,0.741190667
11.96,0.741164682
11.97,0.741138744
11.98,0.741112952
11.99,0.741087106
12,0.741061405
12.01,0.74103575
12.02,0.741010142
12.03,0.740984579
12.04,0.740959061
12.05,0.740933589
12.06,0.740908162
12.07,0.740882779
12.08,0.740857541
12.09,0.740832248
12.1,0.7408071
12.11,0.740781897
12.12,0.740756837
12.13,0.740731822
12.14,0.74070675
12.15,0.740681824
12.16,0.740656941
12.17,0.740632101
12.18,0.740607404
12.19,0.740582652
12.2,0.740557943
12.21,0.740533276
12.22,0.740508753
12.23,0.740484173
12.24,0.740459735
12.25,0.74043534
12.26,0.740410988
12.27,0.740386678
12.28,0.74036231
12.29,0.740338185
12.3,0.740313901
12.31,0.74028986
12.32,0.74026576
12.33,0.740241703
12.34,0.740217787
12.35,0.740193811
12.36,0.740169978
12.37,0.740146085
12.38,0.740122334
12.39,0.740098624
12.4,0.740074955
12.41,0.740051326
12.42,0.740027738
12.43,0.74000419
12.44,0.739980683
12.45,0.739957216
12.46,0.739933889
12.47,0.739910502
12.48,0.739887255
12.49,0.739863948
12.5,0.73984068
12.51,0.739817552
12.52,0.739794464
12.53,0.739771415
12.54,0.739748305
12.55,0.739725434
12.56,0.739702502
12.57,0.739679609
12.58,0.739656755
12.59,0.739633939
12.6,0.739611263
12.61,0.739588524
12.62,0.739565825
12.63,0.739543262
12.64,0.739520638
12.65,0.739498153
12.66,0.739475706
12.67,0.739453296
12.68,0.739430923
12.69,0.739408488
12.7,0.739386291
12.71,0.739364032
12.72,0.739341808
12.73,0.739319623
12.74,0.739297474
12.75,0.739275463
12.76,0.739253389
12.77,0.739231451
12.78,0.73920945
12.79,0.739187585
12.8,0.739165757
12.81,0.739143865
12.82,0.73912211
12.83,0.73910039
12.84,0.739078707
12.85,0.739057059
12.86,0.739035448
12.87,0.739013872
12.88,0.738992431
12.89,0.738970927
12.9,0.738949457
12.91,0.738928124
12.92,0.738906724
12.93,0.738885461
12.94,0.738864233
12.95,0.738842939
12.96,0.73882178
12.97,0.738800656
12.98,0.738779567
12.99,0.738758511
13,0.738737491
13.01,0.738716505
13.02,0.738695554
13.03,0.738674637
13.04,0.738653752
13.05,0.738633003
13.06,0.738612188
13.07,0.738591406
13.08,0.738570758
13.09,0.738550143
13.1,0.738529463
13.11,0.738508915
13.12,0.738488401
13.13,0.73846782
13.14,0.738447372
13.15,0.738426957
13.16,0.738406676
13.17,0.738386227
13.18,0.73836601
13.19,0.738345727
13.2,0.738325477
13.21,0.738305359
13.22,0.738285173
13.23,0.73826502
13.24,0.738244998
13.25,0.73822491
13.26,0.738204953
13.27,0.738184928
13.28,0.738165035
13.29,0.738145174
13.3,0.738125345
13.31,0.738105547
13.32,0.738085781
13.33,0.738066047
13.34,0.738046344
13.35,0.738026671
13.36,0.738007031
13.37,0.737987422
13.38,0.737967944
13.39,0.737948396
13.4,0.737928879
13.41,0.737909494
13.42,0.737890139
13.43,0.737870814
13.44,0.737851422
13.45,0.737832157
13.46,0.737812825
13.47,0.737793623
13.48,0.737774451
13.49,0.737755309
13.5,0.737736196
13.51,0.737717114
13.52,0.737698062
13.53,0.73767914
13.54,0.737660047
13.55,0.737641184
13.56,0.737622251
13.57,0.737603448
13.58,0.737584574
13.59,0.737565729
13.6,0.737547014
13.61,0.737528327
13.62,0.73750967
13.63,0.737490942
13.64,0.737472343
13.65,0.737453773
13.66,0.737435232
13.67,0.737416719
13.68,0.737398135
13.69,0.737379679
13.7,0.737361353
13.71,0.737342954
13.72,0.737324585
13.73,0.737306244
13.74,0.73728793
13.75,0.737269745
13.76,0.737251587
13.77,0.737233359
13.78,0.737215158
13.79,0.737197084
13.8,0.737178939
13.81,0.73716092
13.82,0.737142931
13.83,0.737124868
13.84,0.737106933
13.85,0.737089026
13.86,0.737071145
13.87,0.737053292
13.88,0.737035468
13.89,0.737017669
13.9,0.736999997
13.91,0.736982253
13.92,0.736964435
13.93,0.736946845
13.94,0.736929181
13.95,0.736911643
